city,city_en,year,month,new_home_hb,new_home_tb,new_home_dj,existing_home_hb,existing_home_tb,existing_home_dj,hb_source,tb_source,dj_source
三亚,Sanya,2011,01,100.4,,,100.7,,,changao1/github,,
三亚,Sanya,2011,02,100.4,,,99.2,,,changao1/github,,
三亚,Sanya,2011,03,100.4,,,100.2,,,changao1/github,,
三亚,Sanya,2011,04,99.9,,,99.5,,,changao1/github,,
三亚,Sanya,2011,05,100.3,,,100.0,,,changao1/github,,
三亚,Sanya,2011,06,99.9,,,99.9,,,changao1/github,,
三亚,Sanya,2011,07,100.0,,,100.1,,,changao1/github,,
三亚,Sanya,2011,08,100.0,,,100.0,,,changao1/github,,
三亚,Sanya,2011,09,100.0,,,100.0,,,changao1/github,,
三亚,Sanya,2011,10,100.0,,,99.9,,,changao1/github,,
三亚,Sanya,2011,11,99.8,,,99.1,,,changao1/github,,
三亚,Sanya,2011,12,100.0,,,97.8,,,changao1/github,,
三亚,Sanya,2012,01,100.0,,,99.6,,,changao1/github,,
三亚,Sanya,2012,02,100.0,,,99.5,,,changao1/github,,
三亚,Sanya,2012,03,99.8,,,99.8,,,changao1/github,,
三亚,Sanya,2012,04,99.7,,,99.8,,,changao1/github,,
三亚,Sanya,2012,05,99.8,,,99.8,,,changao1/github,,
三亚,Sanya,2012,06,99.9,,,99.8,,,changao1/github,,
三亚,Sanya,2012,07,99.9,,,99.9,,,changao1/github,,
三亚,Sanya,2012,08,100.0,,,100.0,,,changao1/github,,
三亚,Sanya,2012,09,100.0,,,100.1,,,changao1/github,,
三亚,Sanya,2012,10,99.9,,,100.0,,,changao1/github,,
三亚,Sanya,2012,11,100.1,,,100.1,,,changao1/github,,
三亚,Sanya,2012,12,100.4,,,100.2,,,changao1/github,,
三亚,Sanya,2013,01,100.3,,,100.1,,,changao1/github,,
三亚,Sanya,2013,02,100.4,,,100.1,,,changao1/github,,
三亚,Sanya,2013,03,100.6,,,100.3,,,changao1/github,,
三亚,Sanya,2013,04,100.6,,,100.1,,,changao1/github,,
三亚,Sanya,2013,05,99.9,,,100.2,,,changao1/github,,
三亚,Sanya,2013,06,100.2,,,100.1,,,changao1/github,,
三亚,Sanya,2013,07,100.3,,,100.1,,,changao1/github,,
三亚,Sanya,2013,08,100.6,,,100.1,,,changao1/github,,
三亚,Sanya,2013,09,100.3,,,100.1,,,changao1/github,,
三亚,Sanya,2013,10,100.8,,,100.2,,,changao1/github,,
三亚,Sanya,2013,11,100.9,,,100.0,,,changao1/github,,
三亚,Sanya,2013,12,100.2,,,100.8,,,changao1/github,,
三亚,Sanya,2014,01,100.4,,,100.2,,,changao1/github,,
三亚,Sanya,2014,02,100.2,,,100.1,,,changao1/github,,
三亚,Sanya,2014,03,100.4,,,100.1,,,changao1/github,,
三亚,Sanya,2014,04,100.2,,,100.0,,,changao1/github,,
三亚,Sanya,2014,05,100.1,,,99.9,,,changao1/github,,
三亚,Sanya,2014,06,99.9,,,99.9,,,changao1/github,,
三亚,Sanya,2014,07,97.6,,,99.4,,,changao1/github,,
三亚,Sanya,2014,08,99.5,,,99.6,,,changao1/github,,
三亚,Sanya,2014,09,99.6,,,99.4,,,changao1/github,,
三亚,Sanya,2014,10,99.3,,,99.2,,,changao1/github,,
三亚,Sanya,2014,11,99.4,,,100.0,,,changao1/github,,
三亚,Sanya,2014,12,99.3,,,99.8,,,changao1/github,,
三亚,Sanya,2015,01,99.5,,,99.7,,,changao1/github,,
三亚,Sanya,2015,02,99.8,,,99.9,,,changao1/github,,
三亚,Sanya,2015,03,99.9,,,99.9,,,changao1/github,,
三亚,Sanya,2015,04,99.8,,,99.8,,,changao1/github,,
三亚,Sanya,2015,05,99.8,,,99.8,,,changao1/github,,
三亚,Sanya,2015,06,99.9,,,99.9,,,changao1/github,,
三亚,Sanya,2015,07,100.2,,,100.0,,,changao1/github,,
三亚,Sanya,2015,08,100.3,,,100.5,,,changao1/github,,
三亚,Sanya,2015,09,100.0,,,100.3,,,changao1/github,,
三亚,Sanya,2015,10,100.0,,,100.7,,,changao1/github,,
三亚,Sanya,2015,11,99.7,,,100.1,,,changao1/github,,
三亚,Sanya,2015,12,100.5,,,100.0,,,changao1/github,,
